id,status,amount,updated_at
MLB2799907581,paused,0,2024-01-25T13:13:42.030Z
MLB2799889225,paused,0,2024-01-25T13:13:42.429Z
MLB2799930592,paused,0,2024-01-25T13:13:42.801Z
MLB2799901109,paused,0,2024-01-25T13:13:43.170Z
MLB2799882970,paused,0,2024-01-25T13:13:43.564Z
MLB2799883048,paused,0,2024-01-25T13:13:43.947Z
MLB2799930613,paused,0,2024-01-25T13:13:44.339Z
MLB2799889289,paused,0,2024-01-25T13:13:44.739Z
MLB2799924114,paused,0,2024-01-25T13:13:45.170Z
MLB2799901116,paused,0,2024-01-25T13:13:45.561Z
MLB2799895444,paused,0,2024-01-25T13:13:46.061Z
MLB2799907650,paused,0,2024-01-25T13:13:46.475Z
MLB2799911613,paused,0,2024-01-25T13:13:46.851Z
MLB2799908349,paused,0,2024-01-25T13:13:47.237Z
MLB2799883614,paused,0,2024-01-25T13:13:47.657Z
MLB2799924522,paused,0,2024-01-25T13:13:48.039Z
MLB2799908429,paused,0,2024-01-25T13:13:48.427Z
MLB2799937703,paused,0,2024-01-25T13:13:48.824Z
MLB2799896201,paused,0,2024-01-25T13:13:49.206Z
MLB2799937708,paused,0,2024-01-25T13:13:49.594Z
MLB2799912404,paused,0,2024-01-25T13:13:49.968Z
MLB2799937592,paused,0,2024-01-25T13:13:50.352Z
MLB2799901393,paused,0,2024-01-25T13:13:50.719Z
MLB2799908140,paused,0,2024-01-25T13:13:51.104Z
MLB2799943577,paused,0,2024-01-25T13:13:51.471Z
MLB2799895917,paused,0,2024-01-25T13:13:51.867Z
MLB2799943015,paused,0,2024-01-25T13:13:52.240Z
MLB2799895620,paused,0,2024-01-25T13:13:52.627Z
MLB2799931189,paused,0,2024-01-25T13:13:53.031Z
MLB2799883537,paused,0,2024-01-25T13:13:53.404Z
MLB2799908141,paused,0,2024-01-25T13:13:53.767Z
MLB2800724076,paused,0,2024-01-25T13:13:54.155Z
MLB2800724467,paused,0,2024-01-25T13:13:54.544Z
MLB2800742394,paused,0,2024-01-25T13:13:54.934Z
MLB2799908387,paused,0,2024-01-25T13:13:55.310Z
MLB2799930750,paused,0,2024-01-25T13:13:55.713Z
MLB2799937534,paused,0,2024-01-25T13:13:56.181Z
MLB2799908296,paused,0,2024-01-25T13:13:56.596Z
MLB2800748784,paused,0,2024-01-25T13:13:57.018Z
MLB2800675347,paused,0,2024-01-25T13:13:57.488Z
MLB2800724445,paused,0,2024-01-25T13:13:57.882Z
MLB2799908182,paused,0,2024-01-25T13:13:58.375Z
MLB2799896128,paused,0,2024-01-25T13:13:58.844Z
MLB2799883663,paused,0,2024-01-25T13:13:59.248Z
MLB2799943387,paused,0,2024-01-25T13:14:20.248Z
MLB2799931228,paused,0,2024-01-25T13:14:20.620Z
MLB2799924790,paused,0,2024-01-25T13:14:21.105Z
MLB2799912303,paused,0,2024-01-25T13:14:21.527Z
MLB2799446358,paused,0,2024-01-25T13:14:21.954Z
MLB2800491358,paused,0,2024-01-25T13:14:22.326Z
MLB2799441218,paused,0,2024-01-25T13:14:22.705Z
MLB2799440973,paused,0,2024-01-25T13:14:23.104Z
MLB2799435169,paused,0,2024-01-25T13:14:43.784Z
MLB2799459989,paused,0,2024-01-25T13:14:44.204Z
MLB2799446647,paused,0,2024-01-25T13:14:44.647Z
MLB2799488692,paused,0,2024-01-25T13:14:44.983Z
MLB2799494798,paused,0,2024-01-25T13:14:45.354Z
MLB2799441432,paused,0,2024-01-25T13:14:45.752Z
MLB2799490165,paused,0,2024-01-25T13:14:46.151Z
MLB2799441977,paused,0,2024-01-25T13:14:46.565Z
MLB2799434930,paused,0,2024-01-25T13:14:46.935Z
MLB2799465579,paused,0,2024-01-25T13:14:47.304Z
MLB2799483066,paused,0,2024-01-25T13:14:47.691Z
MLB2799470453,paused,0,2024-01-25T13:14:48.086Z
MLB2799496058,paused,0,2024-01-25T13:14:48.448Z
MLB2799435082,paused,0,2024-01-25T13:14:48.818Z
MLB2799446752,paused,0,2024-01-25T13:14:49.194Z
MLB2799452894,paused,0,2024-01-25T13:14:49.544Z
MLB2799465559,paused,0,2024-01-25T13:14:49.901Z
MLB2799447052,paused,0,2024-01-25T13:14:50.291Z
MLB2799460059,paused,0,2024-01-25T13:14:50.631Z
MLB2799447068,paused,0,2024-01-25T13:14:51.000Z
MLB2799470509,paused,0,2024-01-25T13:14:51.360Z
MLB2799500787,paused,0,2024-01-25T13:14:51.697Z
MLB2799490694,paused,0,2024-01-25T13:14:52.048Z
MLB2799453205,paused,0,2024-01-25T13:14:52.385Z
MLB2799447112,paused,0,2024-01-25T13:14:52.724Z
MLB2799466566,paused,0,2024-01-25T13:14:53.076Z
MLB2799441276,paused,0,2024-01-25T13:14:53.438Z
MLB2799495898,paused,0,2024-01-25T13:14:53.812Z
MLB2799483998,paused,0,2024-01-25T13:14:54.136Z
MLB2799471258,paused,0,2024-01-25T13:14:54.476Z
MLB2799470567,paused,0,2024-01-25T13:14:54.798Z
MLB2799471309,paused,0,2024-01-25T13:14:55.231Z
MLB2799467017,paused,0,2024-01-25T13:14:55.573Z
MLB2799447993,paused,0,2024-01-25T13:14:55.899Z
MLB2799453963,paused,0,2024-01-25T13:14:56.258Z
MLB2799488995,paused,0,2024-01-25T13:14:56.579Z
MLB2799489203,paused,0,2024-01-25T13:14:56.956Z
MLB2799483283,paused,0,2024-01-25T13:14:57.280Z
MLB2799470692,paused,0,2024-01-25T13:14:57.613Z
MLB2799484434,paused,0,2024-01-25T13:14:57.985Z
MLB2799460596,paused,0,2024-01-25T13:14:58.393Z
MLB2799447849,paused,0,2024-01-25T13:14:58.761Z
MLB2799489912,paused,0,2024-01-25T13:14:59.083Z
MLB2800731090,paused,0,2024-01-25T13:14:59.472Z
MLB2799466516,paused,0,2024-01-25T13:14:59.848Z
MLB2799465774,paused,0,2024-01-25T13:15:00.197Z
MLB2799470687,paused,0,2024-01-25T13:15:00.550Z
MLB2799484774,paused,0,2024-01-25T13:15:00.898Z
MLB2799441893,paused,0,2024-01-25T13:15:01.262Z
MLB2799448000,paused,0,2024-01-25T13:15:01.692Z
MLB2799447909,paused,0,2024-01-25T13:15:02.108Z
MLB2799460307,paused,0,2024-01-25T13:15:02.506Z
MLB2799460611,paused,0,2024-01-25T13:15:02.861Z
MLB2799454052,paused,0,2024-01-25T13:15:03.241Z
MLB2799471376,paused,0,2024-01-25T13:15:03.673Z
MLB2799435267,paused,0,2024-01-25T13:15:04.048Z
MLB2799471538,paused,0,2024-01-25T13:15:04.570Z
MLB2799441428,paused,0,2024-01-25T13:15:04.995Z
MLB2799460555,paused,0,2024-01-25T13:15:05.389Z
MLB2799441463,paused,0,2024-01-25T13:15:05.748Z
MLB2799448072,paused,0,2024-01-25T13:15:06.222Z
MLB2799912676,paused,0,2024-01-25T13:15:06.624Z
MLB2800630885,paused,0,2024-01-25T13:15:07.008Z
MLB2800748804,paused,0,2024-01-25T13:15:07.449Z
MLB2800675577,paused,0,2024-01-25T13:15:07.835Z
MLB2799467209,paused,0,2024-01-25T13:15:08.274Z
MLB2799459613,paused,0,2024-01-25T13:15:08.654Z
MLB2799447150,paused,0,2024-01-25T13:15:09.024Z
MLB2799434695,paused,0,2024-01-25T13:15:09.382Z
MLB2799495301,paused,0,2024-01-25T13:15:09.787Z
MLB2799466066,paused,0,2024-01-25T13:15:10.171Z
MLB2799434500,paused,0,2024-01-25T13:15:10.536Z
MLB2799500560,paused,0,2024-01-25T13:15:10.897Z
MLB2799441407,paused,0,2024-01-25T13:15:11.241Z
MLB2799902239,paused,0,2024-01-25T13:15:11.616Z
MLB2799483472,paused,0,2024-01-25T13:15:11.979Z
MLB2799459830,paused,0,2024-01-25T13:15:12.361Z
MLB2799434884,paused,0,2024-01-25T13:15:12.750Z
MLB2799496365,paused,0,2024-01-25T13:15:13.166Z
MLB2799471750,paused,0,2024-01-25T13:15:13.591Z
MLB2799507259,paused,0,2024-01-25T13:15:14.014Z
MLB2799447519,paused,0,2024-01-25T13:15:14.371Z
MLB2799489797,paused,0,2024-01-25T13:15:14.758Z
MLB2799944613,paused,0,2024-01-25T13:15:15.109Z
MLB2799453356,paused,0,2024-01-25T13:15:15.505Z
MLB2799448229,paused,0,2024-01-25T13:15:36.165Z
MLB2799459649,paused,0,2024-01-25T13:15:36.594Z
MLB2799465938,paused,0,2024-01-25T13:15:37.014Z
MLB2799459745,paused,0,2024-01-25T13:15:37.423Z
MLB2799434667,paused,0,2024-01-25T13:15:37.783Z
MLB2799484688,paused,0,2024-01-25T13:15:38.142Z
MLB2799496451,paused,0,2024-01-25T13:15:38.479Z
MLB2799454364,paused,0,2024-01-25T13:15:38.928Z
MLB2799471797,paused,0,2024-01-25T13:15:39.261Z
MLB2799466912,paused,0,2024-01-25T13:15:39.664Z
MLB2799448437,paused,0,2024-01-25T13:15:40.052Z
MLB2800670601,paused,0,2024-01-25T13:15:40.491Z
MLB2800588595,paused,0,2024-01-25T13:15:40.865Z
MLB2800588597,paused,0,2024-01-25T13:15:41.311Z
MLB2800607138,paused,0,2024-01-25T13:15:41.735Z
MLB2800611422,paused,0,2024-01-25T13:15:42.183Z
MLB2800491246,paused,0,2024-01-25T13:15:42.548Z
MLB2800675635,paused,0,2024-01-25T13:15:42.889Z
MLB2800725296,paused,0,2024-01-25T13:15:43.257Z
MLB2800749085,paused,0,2024-01-25T13:15:43.637Z
MLB2800725317,paused,0,2024-01-25T13:15:44.039Z
MLB2800465830,paused,0,2024-01-25T13:15:44.471Z
MLB2800454622,paused,0,2024-01-25T13:15:44.830Z
MLB2800605690,paused,0,2024-01-25T13:15:45.183Z
MLB2800587171,paused,0,2024-01-25T13:15:45.569Z
MLB2800454626,paused,0,2024-01-25T13:15:45.906Z
MLB2800497508,paused,0,2024-01-25T13:15:46.272Z
MLB2800454632,paused,0,2024-01-25T13:15:46.685Z
MLB2800605697,paused,0,2024-01-25T13:15:47.034Z
MLB2800497422,paused,0,2024-01-25T13:15:47.461Z
MLB2800605591,paused,0,2024-01-25T13:15:47.816Z
MLB2800587086,paused,0,2024-01-25T13:15:48.187Z
MLB2800593033,paused,0,2024-01-25T13:15:48.570Z
MLB2800731413,paused,0,2024-01-25T13:15:48.950Z
MLB2800681060,paused,0,2024-01-25T13:15:49.410Z
MLB2800630720,paused,0,2024-01-25T13:15:49.841Z
MLB2800675455,paused,0,2024-01-25T13:15:50.270Z
MLB2800675457,paused,0,2024-01-25T13:15:50.648Z
MLB2800611953,paused,0,2024-01-25T13:15:51.053Z
MLB2800755222,paused,0,2024-01-25T13:15:51.481Z
MLB2800681095,paused,0,2024-01-25T13:15:51.846Z
MLB2800731677,paused,0,2024-01-25T13:15:52.301Z
MLB2800611966,paused,0,2024-01-25T13:15:52.714Z
MLB2800748920,paused,0,2024-01-25T13:15:53.081Z
MLB2800748968,paused,0,2024-01-25T13:15:53.436Z
MLB2800731409,paused,0,2024-01-25T13:15:53.808Z
MLB2800724920,paused,0,2024-01-25T13:15:54.233Z
MLB2800748966,paused,0,2024-01-25T13:15:54.634Z
MLB2800749001,paused,0,2024-01-25T13:15:54.981Z
MLB2800725142,paused,0,2024-01-25T13:15:55.335Z
MLB2800743181,paused,0,2024-01-25T13:15:55.701Z
MLB2800675469,paused,0,2024-01-25T13:15:56.079Z
MLB2800731500,paused,0,2024-01-25T13:15:56.489Z
MLB2800675719,paused,0,2024-01-25T13:15:56.900Z
MLB2800731285,paused,0,2024-01-25T13:15:57.257Z
MLB2800675484,paused,0,2024-01-25T13:15:57.655Z
MLB2800675425,paused,0,2024-01-25T13:15:58.028Z
MLB2800497779,paused,0,2024-01-25T13:15:58.467Z
MLB2800731223,paused,0,2024-01-25T13:15:58.855Z
MLB2800686569,paused,0,2024-01-25T13:15:59.260Z
MLB2800748890,paused,0,2024-01-25T13:15:59.689Z
MLB2800675294,paused,0,2024-01-25T13:16:00.072Z
MLB2800738038,paused,0,2024-01-25T13:16:00.499Z
MLB2800686657,paused,0,2024-01-25T13:16:00.868Z
MLB2800675463,paused,0,2024-01-25T13:16:01.227Z
MLB2800681278,paused,0,2024-01-25T13:16:01.574Z
MLB2800611962,paused,0,2024-01-25T13:16:01.959Z
MLB2800490994,paused,0,2024-01-25T13:16:02.438Z
MLB2800748550,paused,0,2024-01-25T13:16:02.878Z
MLB2800605451,paused,0,2024-01-25T13:16:03.222Z
MLB2800686427,paused,0,2024-01-25T13:16:03.689Z
MLB2800737326,paused,0,2024-01-25T13:16:04.059Z
MLB2800675107,paused,0,2024-01-25T13:16:04.483Z
MLB2800605364,paused,0,2024-01-25T13:16:04.931Z
MLB2800630949,paused,0,2024-01-25T13:16:05.435Z
MLB2800675211,paused,0,2024-01-25T13:16:05.872Z
MLB2800748555,paused,0,2024-01-25T13:16:06.358Z
MLB2800675010,paused,0,2024-01-25T13:16:06.922Z
MLB2800611755,paused,0,2024-01-25T13:16:07.423Z
MLB2800742964,paused,0,2024-01-25T13:16:07.871Z
MLB2800611651,paused,0,2024-01-25T13:16:08.325Z
MLB2800742854,paused,0,2024-01-25T13:16:08.786Z
MLB2800724709,paused,0,2024-01-25T13:16:09.191Z
MLB2800724706,paused,0,2024-01-25T13:16:09.607Z
MLB2800611642,paused,0,2024-01-25T13:16:10.053Z
MLB2800686434,paused,0,2024-01-25T13:16:10.408Z
MLB2800605460,paused,0,2024-01-25T13:16:10.760Z
MLB2800686324,paused,0,2024-01-25T13:16:11.137Z
MLB2800686424,paused,0,2024-01-25T13:16:11.498Z
MLB2800725277,paused,0,2024-01-25T13:16:11.896Z
MLB2800680783,paused,0,2024-01-25T13:16:12.390Z
MLB2800604910,paused,0,2024-01-25T13:16:12.759Z
MLB2800748910,paused,0,2024-01-25T13:16:13.139Z
MLB2800724758,paused,0,2024-01-25T13:16:13.586Z
MLB2800724754,paused,0,2024-01-25T13:16:13.961Z
MLB2800674993,paused,0,2024-01-25T13:16:14.324Z
MLB2800630574,paused,0,2024-01-25T13:16:14.694Z
MLB2800737787,paused,0,2024-01-25T13:16:15.038Z
MLB2800611347,paused,0,2024-01-25T13:16:15.452Z
MLB2800630260,paused,0,2024-01-25T13:16:15.830Z
MLB2799909522,paused,0,2024-01-25T13:16:16.220Z
MLB2800723022,paused,0,2024-01-25T13:16:16.657Z
MLB2800679305,paused,0,2024-01-25T13:16:17.025Z
MLB2800730354,paused,0,2024-01-25T13:16:17.491Z
MLB2800736920,paused,0,2024-01-25T13:16:17.874Z
MLB2800604826,paused,0,2024-01-25T13:16:18.267Z
MLB2800674393,paused,0,2024-01-25T13:16:18.704Z
MLB2800685488,paused,0,2024-01-25T13:16:19.070Z
MLB2800674510,paused,0,2024-01-25T13:16:19.440Z
MLB2800674408,paused,0,2024-01-25T13:16:19.870Z
MLB2800605018,paused,0,2024-01-25T13:16:20.261Z
MLB2800674700,paused,0,2024-01-25T13:16:20.656Z
MLB2799890429,paused,0,2024-01-25T13:16:41.291Z
MLB2799501093,paused,0,2024-01-25T13:16:41.661Z
MLB2799902637,paused,0,2024-01-25T13:16:42.006Z
MLB2799955539,paused,0,2024-01-25T13:16:42.348Z
MLB2799908650,paused,0,2024-01-25T13:16:42.670Z
MLB2799496925,paused,0,2024-01-25T13:16:43.020Z
MLB2799490661,paused,0,2024-01-25T13:16:43.391Z
MLB2799454640,paused,0,2024-01-25T13:16:43.761Z
MLB2799507064,paused,0,2024-01-25T13:16:44.132Z
MLB2799441965,paused,0,2024-01-25T13:16:44.500Z
MLB2799490677,paused,0,2024-01-25T13:17:05.198Z
MLB2799441953,paused,0,2024-01-25T13:17:05.573Z
MLB2799500852,paused,0,2024-01-25T13:17:05.917Z
MLB2799500845,paused,0,2024-01-25T13:17:06.286Z
MLB2799467258,paused,0,2024-01-25T13:17:06.589Z
MLB2799496797,paused,0,2024-01-25T13:17:07.029Z
MLB2799467245,paused,0,2024-01-25T13:17:07.412Z
MLB2799454629,paused,0,2024-01-25T13:17:07.770Z
MLB2799490658,paused,0,2024-01-25T13:17:08.131Z
MLB2799496781,paused,0,2024-01-25T13:17:08.493Z
